[DEBUG] [2021-12-01 13:33:52,131] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,132] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,133] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,133] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,134] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,134] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,135] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,135] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,136] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,136] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,137] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,137] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,137] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,138] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,140] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,141] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,141] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,142] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,142] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,142] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,143] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,143] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,143] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,143] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,144] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,145] "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) cached copy not yet stale; using cached.
[DEBUG] [2021-12-01 13:33:52,145] Couldn't find template in cache for "v3html/category-view/v3-html-category-view.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,146] TemplateLoader.findTemplateSource("v3html/category-view/v3-html-category-view_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,146] TemplateLoader.findTemplateSource("v3html/category-view/v3-html-category-view.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,146] Loading template for "v3html/category-view/v3-html-category-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/category-view/v3-html-category-view.ftl"
[DEBUG] [2021-12-01 13:33:52,148] Couldn't find template in cache for "v3html/exception-view/v3-html-exception-view.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,148] TemplateLoader.findTemplateSource("v3html/exception-view/v3-html-exception-view_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,148] TemplateLoader.findTemplateSource("v3html/exception-view/v3-html-exception-view.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,148] Loading template for "v3html/exception-view/v3-html-exception-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/exception-view/v3-html-exception-view.ftl"
[DEBUG] [2021-12-01 13:33:52,151] Couldn't find template in cache for "v3html/author-view/v3-html-author-view.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,151] TemplateLoader.findTemplateSource("v3html/author-view/v3-html-author-view_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,151] TemplateLoader.findTemplateSource("v3html/author-view/v3-html-author-view.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,151] Loading template for "v3html/author-view/v3-html-author-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/author-view/v3-html-author-view.ftl"
[DEBUG] [2021-12-01 13:33:52,153] Couldn't find template in cache for "v3html/dashboard-view/v3-html-dashboard-view.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,153] TemplateLoader.findTemplateSource("v3html/dashboard-view/v3-html-dashboard-view_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,153] TemplateLoader.findTemplateSource("v3html/dashboard-view/v3-html-dashboard-view.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,153] Loading template for "v3html/dashboard-view/v3-html-dashboard-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/dashboard-view/v3-html-dashboard-view.ftl"
[DEBUG] [2021-12-01 13:33:52,156] Couldn't find template in cache for "v3html/logs-view/v3-html-testrunner-logs-view.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:52,156] TemplateLoader.findTemplateSource("v3html/logs-view/v3-html-testrunner-logs-view_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:52,156] TemplateLoader.findTemplateSource("v3html/logs-view/v3-html-testrunner-logs-view.ftl"): Found
[DEBUG] [2021-12-01 13:33:52,156] Loading template for "v3html/logs-view/v3-html-testrunner-logs-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/logs-view/v3-html-testrunner-logs-view.ftl"
[INFO ] [2021-12-01 14:55:14,614] Login - Step 02: Input to email and passwork textbox
[INFO ] [2021-12-01 14:55:14,806] Login - Step 03: Click to login button -> Navigate to HomePage
[INFO ] [2021-12-01 14:55:16,190] Login - Step 04: Verify 'My Account' link is displayed
[INFO ] [2021-12-01 14:55:16,272] NameFieldCannotBeEmpty - step 01: Click New Customer link
[INFO ] [2021-12-01 14:55:16,912] NameFieldCannotBeEmpty - step 02: Click Tab keybord focus out Customer name textbox
[INFO ] [2021-12-01 14:55:17,109] NameFieldCannotBeEmpty - step 03: Verify customer name message
[INFO ] [2021-12-01 14:55:17,147]  -------------------------- PASSED -------------------------- 
